"id_study","id_row","sc_authors","sc_pub_year","sc_impact_factor_that_year","sc_pub_type","sa_data_year","sa_random","sa_bias_demographics","sa_bias_involvement","sa_bias_language","sa_approached_participated","sa_began_finished","sa_age_m_iv","sa_age_sd_iv","sa_age_m_dv","sa_age_sd_dv","sa_p_male","sa_age_m_f","sa_age_sd_f","sa_p_single_parent","sa_country","sa_p_hispanic_f","sa_p_black_f","sa_p_asian_f","sa_p_otherethnic_f","sa_p_low_ses_family","sa_p_bilingual","sa_pop_dens","sa_mother","sa_p_bio","sa_p_intact","sa_p_firstborn","de_experiment","de_longitudinal","de_manipulation","de_larger_study","iv_qualitative","iv_assessment","iv_location","iv_researcher_present","iv_informant","iv_recording","iv_reliability","iv_validity","dv_type","dv_assessment","dv_location","dv_researcher_present","dv_informant","dv_recording","dv_timelag","dv_reliability","dv_validity","es_reverse_coded","es_type","es_partial","es_controls","es_n","es_correlation","iv_type_cat","dv_instrumentname_cat","sa_larger_study_cat"
1,1,"Ackerman-Ross & Khanna",1989,0.3,"J",1986,"0","1","0","0",0.554247297297297,0.9,3,0.306526160735128,3,0.320896920359231,0.55,33.8975,6.40458677419355,1,"US",0,0,0,0,0.03956019,0,"U","1",0.91981277776,1,0.5545,"0","0","0","0","0","Q","H","0","F","0",0.803130370370371,"1","GR","A","S","1","R","0",0,0.835,"1","0","R","0",0,40,0.256,"teaching","PLS","Ackerman-Ross & Khanna, 1989"
1,2,"Ackerman-Ross & Khanna",1989,0.3,"J",1986,"0","1","0","0",0.547010810810811,0.9,3,0.322813031581688,3,0.330278235649145,0.55,33.9128,6.44154241935484,1,"US",0,0,0,0,0.03956019,0,"U","1",0.92131031744,1,0.5545,"0","0","0","0","0","Q","H","0","F","0",0.802370370370371,"1","GR","A","S","1","R","0",0,0.835,"1","0","R","0",0,40,-0.018,"communication quality","PLS","Ackerman-Ross & Khanna, 1989"
2,3,"Anderson, Roggman, Innocenti, & Cook",2013,1.133,"J",1998,"0","1","0","0",0.82,0.67,1.166666667,0.424499050367521,3,0.428131528991453,0.48,30,7.78,0.15,"US",0.112877583,0.251192369,0,0,0.9,0.191367037511628,"M","1",0.85,0.85,0.600763157894737,"0","1","1","1","1","BE","H","1","R","1",0.89,"1","R","A","H","1","R","0",1.833333333,0.92,"1","0","R","1",5,58,0.36,"support","PPVT","EHS"
2,4,"Anderson, Roggman, Innocenti, & Cook",2013,1.133,"J",1998,"0","1","0","0",0.82,0.67,2,0.424499050367521,3,0.428131528991453,0.48,30,7.78,0.15,"US",0.112877583,0.251192369,0,0,0.9,0.191367037511628,"M","1",0.85,0.85,0.600763157894737,"0","1","1","1","1","BE","H","1","R","1",0.89,"1","R","A","H","1","R","0",1,0.92,"1","0","R","1",5,220,0.27,"support","PPVT","EHS"
2,5,"Anderson, Roggman, Innocenti, & Cook",2013,1.133,"J",1998,"0","1","0","0",0.82,0.67,2,0.424499050367521,5,0.428131528991453,0.48,30,7.78,0.15,"US",0.112877583,0.251192369,0,0,0.9,0.191367037511628,"M","1",0.85,0.85,0.600763157894737,"0","1","1","1","1","BE","H","1","R","1",0.89,"1","R","A","H","1","R","0",3,0.92,"1","0","R","1",5,229,0.26,"support","PPVT","EHS"
2,6,"Anderson, Roggman, Innocenti, & Cook",2013,1.133,"J",1998,"0","1","0","0",0.82,0.67,3,0.424499050367521,5,0.428131528991453,0.48,30,7.78,0.15,"US",0.112877583,0.251192369,0,0,0.9,0.191367037511628,"M","1",0.85,0.85,0.600763157894737,"0","1","1","1","1","BE","H","1","R","1",0.89,"1","R","A","H","1","R","0",2,0.92,"1","0","R","1",5,220,0.23,"support","PPVT","EHS"
3,7,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.643802702702703,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9152776984,1,0.46,"0","0","0","0","1","BE","H","1","R","1",0.97,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,0.7,"communication quality","Other","Aram, 2010"
3,8,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.643802702702703,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9152776984,1,0.46,"0","0","0","0","1","BE","H","1","R","1",0.98,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,0.73,"communication quality","Other","Aram, 2010"
3,9,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.637002702702703,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9441976984,1,0.46,"0","0","0","0","1","BE","H","1","R","1",0.89,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,0.44,"communication quality","Other","Aram, 2010"
3,10,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.626375675675676,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9429776984,1,0.46,"0","0","0","0","1","BE","H","1","R","1",0.91,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,-0.15,"teaching","Other","Aram, 2010"
3,11,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.640602702702702,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9417976984,1,0.46,"0","0","0","0","1","BE","H","1","R","1",0.88,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,0.22,"support","Other","Aram, 2010"
3,12,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.635302702702703,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9410376984,1,0.46,"0","0","0","0","1","BE","H","1","R","1",0.98,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,-0.09,"support","Other","Aram, 2010"
3,13,"Aram",2010,0.938,"J",2008,"0","1","0","0",0.628602702702702,1,4.933333333,0.4,4.933333333,0.4,0.51,38.2,5.9,0,"IL",0,0,0,0,0,0,"M","1",0.9423976984,1,0.46,"0","0","0","0","1","BF","H","1","R","1",0.91,"1","GR","A","H","1","R","0",0,0.97,"1","0","R","0",0,51,0.05,"support","Other","Aram, 2010"
4,14,"Averett, Gennetian, & Peters",2005,0.56,"J",1986,"0","1","0","0",0.544072972972973,0.7745,1.5,0.431840388902479,6.779161868,1.152419226,0.46889,28.28800384,4.8,0,"US",0.076726,0.087731,0,0,0.40638086424,0.0207683046904651,"M","1",1,1,0.36944134,"0","1","0","1","0","Q","H","1","M","0",0.830395370370371,"0","R","A","H","1","R","0",5.279161868,0.89,"1","0","D","0",0,2084,-0.0656266077267724,"communication quality","PPVT","NLSY"
5,15,"Baker & Lynne Vernon-Feagans",2015,1.4,"J",2008,"1","0","0","0",0.56,0.95,5,0.330887646903077,6,0.346134849759317,0.51,35.13,6.31,0,"US",0,0.25,0,0,0.385270749,0,"R","1",0.95238031744,1,0.174801238,"0","1","0","1","0","BF","H","1","R","1",0.9,"1","R","A","H","1","R","0",1,0.875,"1","0","R","0",0,551,0.07,"communication quality","Woodcock","FLP"
5,16,"Baker & Lynne Vernon-Feagans",2015,1.4,"J",2008,"1","0","0","0",0.56,0.95,5,0.330887646903077,6,0.349201728929317,0.51,35.13,6.31,0,"US",0,0.25,0,0,0.385270749,0,"R","1",0.95238031744,1,0.174801238,"0","1","0","1","0","BF","H","1","R","1",0.9,"1","R","A","H","1","R","0",1,0.875,"1","0","R","0",0,551,-0.01,"communication quality","Woodcock","FLP"
5,17,"Baker & Lynne Vernon-Feagans",2015,1.4,"J",2008,"1","0","0","0",0.56,0.95,5,0.330887646903077,6,0.344251516419317,0.51,35.13,6.31,0,"US",0,0.25,0,0,0.385270749,0,"R","1",0.95238031744,1,0.174801238,"0","1","0","1","0","BF","H","1","R","1",0.9,"1","R","A","H","1","R","0",1,0.875,"1","0","R","0",0,551,0.12,"communication quality","Woodcock","FLP"
5,18,"Baker & Lynne Vernon-Feagans",2015,1.4,"J",2008,"1","0","0","0",0.56,0.95,5,0.330887646903077,6,0.344243183089317,0.51,35.13,6.31,0,"US",0,0.25,0,0,0.385270749,0,"R","1",0.95238031744,1,0.174801238,"0","1","0","1","0","BF","H","1","R","1",0.9,"1","R","A","H","1","R","0",1,0.875,"1","0","R","0",0,551,0.09,"communication quality","Woodcock","FLP"
6,19,"Baker",2013,1.586,"J",2001,"1","0","0","0",0.74,0.63,2,0.268822154216752,4.38,0.336666667,0.49,31.84,6.9,0,"US",0,0.16,0,0,0.16,0.0269693630009302,"M","1",0.7,1,0.175552677333333,"0","1","0","1","0","Q","H","0","F","0",0.55,"1","GR","A","H","1","R","0",2.38,0.95,"1","0","R","0",0,5190,0.21,"reading","Other","ECLS-B"
7,20,"Baker",2014,0.765,"J",2001,"1","0","0","0",0.74,0.63,2,0.354405262933333,4.333333333,0.3575,0.49,31.52,8.32,0,"US",0,1,0,0,0.16,0.0233229861909302,"M","1",0.76,1,0.175552677333333,"0","1","0","1","0","Q","H","0","F","0",0.62,"1","GR","A","H","1","R","0",2.333333333,0.95,"1","0","R","0",0,750,0.19,"reading","Other","ECLS-B"
7,21,"Baker",2014,0.765,"J",2001,"1","0","0","0",0.74,0.63,2,0.340120649177009,4.333333333,0.3575,0.49,31.52,8.32,0,"US",0,1,0,0,0.16,0.024670374126279,"M","1",0.76,1,0.175552677333333,"0","1","0","1","0","Q","H","0","F","0",0.9,"1","GR","A","H","1","R","0",2.333333333,0.95,"1","0","R","0",0,750,0.08,"play","Other","ECLS-B"
7,22,"Baker",2014,0.765,"J",2001,"1","0","0","0",0.74,0.63,2,0.342225619007158,4.333333333,0.3575,0.49,31.52,8.32,0,"US",0,1,0,0,0.16,0.0227567037511627,"M","1",0.76,1,0.175552677333333,"0","1","0","1","0","Q","H","0","F","0",0.93,"1","GR","A","H","1","R","0",2.333333333,0.95,"1","0","R","0",0,750,-0.08,"involvement","Other","ECLS-B"
8,23,"Baker",2015,1.697,"J",2001,"1","0","0","0",0.74,0.63,2,0.327482596932873,4.435833333,0.360833333,0.5,29.91,7.14,0,"US",0.35,0.65,0,0,0.16,0.0693637748826356,"M","1",0.768897539680001,1,0.177572038,"0","1","0","1","0","Q","H","0","F","0",0.67,"1","GR","A","H","1","R","0",2.435833333,0.95,"1","0","R","0",0,2340,0.06,"reading","Other","ECLS-B"
9,24,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.083333333,0,3,0,1,27.3,6.23918491935484,0.1647782899,"US",0.08599961912,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.86223704062,1,"0","1","0","1","0","Q","H","1","M","0",0.783984682539683,"1","R","A","H","1","R","0",2.916666667,0.935,"1","0","R","0",0,82,0.35,"support","SICD","Child health assessment"
9,25,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.083333333,0,3,0,1,27.3,6.24478491935484,0.16307210433,"US",0.08682051464,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.85799704062,1,"0","1","0","1","0","Q","H","1","M","0",0.784084682539683,"1","G","A","H","1","R","0",2.916666667,0.935,"1","0","R","0",0,82,0.28,"support","SICD","Child health assessment"
9,26,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.083333333,0,4,0,1,27.3,6.26185241935484,0.16307210433,"US",0.08709874846,0.088,0.01037392876,0.067,0.3,0.0225481631351162,"U","1",1,0.86062322619,1,"0","1","0","1","0","Q","H","1","M","0",0.777854985569986,"1","R","A","H","1","R","0",3.916666667,0.97,"1","0","R","0",0,82,0.2,"support","Other","Child health assessment"
9,27,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.333333333,0,3,0,1,27.3,6.23918491935484,0.1647782899,"US",0.08599961912,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.86333704062,1,"0","1","0","1","0","Q","H","1","M","0",0.784884682539683,"1","R","A","H","1","R","0",2.666666667,0.935,"1","0","R","0",0,82,0.49,"support","SICD","Child health assessment"
